0.000,datum
0.714,datum
1.041,datum
1.305,datum
1.572,datum
2.508,datum
3.433,datum
3.928,datum
4.016,datum
4.024,datum
4.302,datum
5.859,datum
5.949,datum
5.950,datum
5.960,datum
6.170,datum
6.179,datum
6.205,datum
6.205,datum
6.437,datum
6.531,datum
6.624,datum
7.230,datum
7.823,datum
7.838,datum
7.839,datum
7.840,datum
8.701,datum
9.409,datum
11.430,datum
11.751,datum
11.752,datum
12.376,datum
12.771,datum
12.772,datum
12.832,datum
12.832,datum
13.044,datum
13.045,datum
13.084,datum
13.086,datum
14.021,datum
14.039,datum
14.576,datum
15.007,datum
15.718,datum
16.052,datum
16.314,datum
16.572,datum
17.515,datum
18.454,datum
18.940,datum
19.020,datum
19.039,datum
19.509,datum
20.955,datum
21.648,datum
21.650,datum
21.652,datum
21.653,datum
21.655,datum
21.656,datum
21.657,datum
21.840,datum
21.841,datum
21.842,datum
22.369,datum
22.828,datum
22.842,datum
22.843,datum
22.845,datum
23.372,datum
23.402,datum
23.403,datum
23.473,datum
23.712,datum
24.430,datum
24.528,datum
24.784,datum
24.801,datum
24.822,datum
26.441,datum
26.765,datum
26.765,datum
27.386,datum
27.787,datum
27.787,datum
27.839,datum
27.841,datum
28.060,datum
28.063,datum
28.109,datum
28.109,datum
29.015,datum
29.044,datum
29.574,datum
30.008,datum
30.748,datum
31.053,datum
31.313,datum
31.575,datum
32.515,datum
33.443,datum
33.958,datum
34.023,datum
34.055,datum
34.304,datum
35.871,datum
35.960,datum
35.961,datum
35.973,datum
36.184,datum
36.215,datum
36.221,datum
36.222,datum
36.447,datum
36.555,datum
36.670,datum
37.248,datum
37.828,datum
37.852,datum
37.853,datum
37.855,datum
38.716,datum
39.446,datum
41.458,datum
41.785,datum
41.786,datum
42.399,datum
42.808,datum
42.809,datum
42.857,datum
42.858,datum
43.072,datum
43.073,datum
43.116,datum
43.117,datum
44.031,datum
44.060,datum
44.595,datum
45.015,datum
45.735,datum
46.080,datum
46.339,datum
46.575,datum
47.514,datum
48.449,datum
48.972,datum
49.022,datum
49.072,datum
49.305,datum
50.903,datum
50.965,datum
50.965,datum
50.966,datum
51.183,datum
51.218,datum
51.219,datum
51.228,datum
51.444,datum
51.565,datum
51.672,datum
52.243,datum
52.842,datum
